proyecto_id,nombre_proyecto,empresa_id,empresa,cliente_sector,lider_proyecto_id,fecha_inicio,fecha_fin_estimada,estado,presupuesto_mxn,costo_real_mxn,desviacion_presupuesto_pct,num_recursos,metodologia,satisfaccion_cliente
PRY0046,Automatización RPA,E01,Accenture Monterrey,Telecomunicaciones,EMP00001,2024-10-15,2025-01-09,En Curso,14810628.11,15344615.33,3.61,20,Agile/Scrum,3.5
PRY0047,Implementación SAP S/4HANA,E01,Accenture Monterrey,Energía y Utilities,EMP00001,2023-04-09,2024-05-17,Completado,7785153.79,7152045.56,-8.13,18,Waterfall,3.7
PRY0048,Dashboard KPI Ejecutivo,E01,Accenture Monterrey,Logística y Cadena de Suministro,EMP00001,2023-05-28,2023-11-01,Completado,6847648.71,7976886.02,16.49,8,Agile/Scrum,5.0
PRY0049,Chatbot IA Servicio al Cliente,E01,Accenture Monterrey,Banca y Finanzas,EMP00001,2023-08-12,2023-11-08,Completado,14883668.87,17370577.34,16.71,16,Híbrida,4.0
PRY0050,Chatbot IA Servicio al Cliente,E01,Accenture Monterrey,Telecomunicaciones,EMP00001,2023-06-25,2024-02-29,Completado,8768843.54,8155885.38,-6.99,9,SAFe,3.5
PRY0051,Integración Sistemas Legados,E01,Accenture Monterrey,Gobierno y Sector Público,EMP00001,2023-09-13,2023-11-13,Completado,4634553.38,4936873.3,6.52,9,Agile/Scrum,3.8
PRY0052,API Gateway Microservicios,E01,Accenture Monterrey,Gobierno y Sector Público,EMP00001,2024-11-23,2025-03-07,En Planeación,14085104.99,16453814.46,16.82,16,Waterfall,4.6
PRY0053,Implementación SAP S/4HANA,E02,Tata Consultancy Services,Energía y Utilities,EMP01779,2024-02-08,2025-06-08,En Curso,8619572.74,10392956.49,20.57,22,Agile/Scrum,3.1
PRY0054,Portal Omnicanal Cliente,E02,Tata Consultancy Services,Retail y E-commerce,EMP01779,2023-06-21,2024-08-14,Completado,1744219.88,1741480.64,-0.16,10,SAFe,4.1
PRY0055,Ciberseguridad Zero Trust,E02,Tata Consultancy Services,Banca y Finanzas,EMP01779,2024-11-28,2025-02-09,En Curso,11097355.56,12319188.64,11.01,16,SAFe,3.3
PRY0056,API Gateway Microservicios,E02,Tata Consultancy Services,Gobierno y Sector Público,EMP01779,2023-10-14,2024-04-30,Completado,14514995.65,13069684.21,-9.96,14,Kanban,4.2
PRY0057,Ciberseguridad Zero Trust,E02,Tata Consultancy Services,Banca y Finanzas,EMP01779,2023-11-14,2024-01-17,Completado,10609969.23,12932809.37,21.89,20,Agile/Scrum,3.4
PRY0058,Plataforma de Analytics BI,E02,Tata Consultancy Services,Salud y Farmacéutico,EMP01779,2024-05-23,2025-01-17,En Curso,4767511.84,5634501.75,18.19,7,Agile/Scrum,3.2
PRY0059,API Gateway Microservicios,E02,Tata Consultancy Services,Logística y Cadena de Suministro,EMP01779,2024-07-05,2024-11-27,En Planeación,3078894.01,3460387.07,12.39,10,Agile/Scrum,4.9
PRY0060,Ciberseguridad Zero Trust,E02,Tata Consultancy Services,Gobierno y Sector Público,EMP01779,2023-12-31,2025-03-31,En Curso,10092234.84,11703538.39,15.97,5,SAFe,4.7
PRY0061,Plataforma de Analytics BI,E02,Tata Consultancy Services,Salud y Farmacéutico,EMP01779,2023-03-12,2024-01-27,Completado,12883035.46,11865786.68,-7.9,23,Agile/Scrum,3.7
PRY0062,Portal Omnicanal Cliente,E02,Tata Consultancy Services,Gobierno y Sector Público,EMP01779,2023-09-07,2024-01-18,Completado,4236430.31,5156850.09,21.73,22,Agile/Scrum,3.7
PRY0063,Integración Sistemas Legados,E02,Tata Consultancy Services,Manufactura Automotriz,EMP01779,2024-04-29,2024-11-19,Completado,7169129.56,6961686.58,-2.89,13,SAFe,4.9
PRY0064,Implementación SAP S/4HANA,E02,Tata Consultancy Services,Logística y Cadena de Suministro,EMP01779,2024-08-30,2025-12-12,En Planeación,11982176.38,11394641.48,-4.9,13,Kanban,4.4
PRY0065,Chatbot IA Servicio al Cliente,E02,Tata Consultancy Services,Logística y Cadena de Suministro,EMP01779,2024-08-19,2025-09-29,En Curso,11674444.81,13213175.22,13.18,10,SAFe,3.1
PRY0066,Dashboard KPI Ejecutivo,E02,Tata Consultancy Services,Banca y Finanzas,EMP01779,2023-12-05,2024-05-12,Completado,14668577.88,15626379.57,6.53,14,SAFe,3.3
PRY0067,Automatización RPA,E02,Tata Consultancy Services,Telecomunicaciones,EMP01779,2024-11-19,2025-02-18,En Planeación,13080543.21,12262260.63,-6.26,18,SAFe,3.3
PRY0068,Dashboard KPI Ejecutivo,E02,Tata Consultancy Services,Manufactura Automotriz,EMP01779,2023-06-25,2024-07-08,Completado,6588567.28,7625688.39,15.74,12,Agile/Scrum,4.9
PRY0069,Plataforma de Analytics BI,E02,Tata Consultancy Services,Gobierno y Sector Público,EMP01779,2024-05-31,2025-10-01,En Curso,1645438.44,2005671.54,21.89,19,Agile/Scrum,4.5
PRY0070,Transformación Digital ERP,E02,Tata Consultancy Services,Banca y Finanzas,EMP01779,2024-07-24,2025-08-06,En Curso,6761268.23,6888957.84,1.89,22,SAFe,3.9
PRY0071,Migración a la Nube AWS,E02,Tata Consultancy Services,Banca y Finanzas,EMP01779,2024-12-10,2026-04-21,En Curso,8475083.8,9362030.1,10.47,15,Waterfall,3.7
PRY0072,DevOps Pipeline CI/CD,E02,Tata Consultancy Services,Energía y Utilities,EMP01779,2024-10-17,2026-01-21,En Curso,10541228.53,11814450.62,12.08,5,Híbrida,4.6
PRY0073,Modernización de Infraestructura,E02,Tata Consultancy Services,Retail y E-commerce,EMP01779,2024-12-25,2026-06-06,En Planeación,11150996.14,10298138.16,-7.65,7,Agile/Scrum,4.7
PRY0074,Transformación Digital ERP,E02,Tata Consultancy Services,Gobierno y Sector Público,EMP01779,2023-03-09,2023-07-30,Completado,4402935.1,5127438.62,16.46,5,SAFe,4.3
PRY0075,Data Lake Empresarial,E02,Tata Consultancy Services,Gobierno y Sector Público,EMP01779,2023-04-17,2023-09-02,Completado,5495714.03,5065229.17,-7.83,9,Agile/Scrum,3.5
PRY0076,API Gateway Microservicios,E02,Tata Consultancy Services,Gobierno y Sector Público,EMP01779,2024-12-01,2026-03-07,En Curso,14295029.76,15839761.59,10.81,16,Agile/Scrum,4.0
PRY0077,Automatización RPA,E02,Tata Consultancy Services,Manufactura Automotriz,EMP01779,2023-08-18,2024-03-22,Completado,8723924.81,9446026.52,8.28,5,Agile/Scrum,4.6
PRY0078,Dashboard KPI Ejecutivo,E02,Tata Consultancy Services,Banca y Finanzas,EMP01779,2023-01-18,2024-06-22,Completado,13283606.55,13719937.18,3.28,21,SAFe,3.5
PRY0079,Ciberseguridad Zero Trust,E02,Tata Consultancy Services,Energía y Utilities,EMP01779,2024-10-21,2026-03-02,En Curso,803358.79,831595.31,3.51,10,SAFe,3.8
PRY0080,Chatbot IA Servicio al Cliente,E02,Tata Consultancy Services,Gobierno y Sector Público,EMP01779,2023-03-17,2024-01-29,Completado,8528489.79,10613046.75,24.44,6,Híbrida,3.1
PRY0081,Dashboard KPI Ejecutivo,E02,Tata Consultancy Services,Manufactura Automotriz,EMP01779,2023-04-21,2024-02-09,Completado,8525650.88,10297880.51,20.79,14,Agile/Scrum,4.4
PRY0082,API Gateway Microservicios,E02,Tata Consultancy Services,Telecomunicaciones,EMP01779,2024-05-31,2025-01-18,En Curso,8623292.04,9931532.1,15.17,18,Waterfall,4.0
PRY0083,Dashboard KPI Ejecutivo,E02,Tata Consultancy Services,Gobierno y Sector Público,EMP01779,2024-12-11,2026-02-13,En Curso,3233211.46,3117109.29,-3.59,19,Agile/Scrum,4.2
PRY0084,Implementación SAP S/4HANA,E02,Tata Consultancy Services,Manufactura Automotriz,EMP01779,2023-08-21,2024-08-01,Completado,1088105.98,1187053.49,9.09,8,SAFe,3.1
PRY0085,Nearshoring Center of Excellence,E02,Tata Consultancy Services,Retail y E-commerce,EMP01779,2023-02-01,2023-09-18,Completado,8980553.93,8824231.83,-1.74,16,Agile/Scrum,4.9
PRY0086,Plataforma de Analytics BI,E02,Tata Consultancy Services,Manufactura Automotriz,EMP01779,2023-07-03,2023-09-05,Completado,12586381.97,11738009.01,-6.74,11,SAFe,3.2
PRY0087,Chatbot IA Servicio al Cliente,E02,Tata Consultancy Services,Salud y Farmacéutico,EMP01779,2024-03-20,2025-08-01,En Curso,6502007.57,7568559.38,16.4,12,Agile/Scrum,4.9
PRY0088,Dashboard KPI Ejecutivo,E03,Neoris,Salud y Farmacéutico,EMP03045,2023-11-12,2024-04-27,Completado,5609325.08,5711076.06,1.81,12,Agile/Scrum,4.1
PRY0089,Integración Sistemas Legados,E03,Neoris,Gobierno y Sector Público,EMP03045,2024-01-06,2025-02-03,En Curso,11171069.36,13120512.18,17.45,15,Híbrida,4.1
PRY0090,Dashboard KPI Ejecutivo,E03,Neoris,Manufactura Automotriz,EMP03045,2024-06-05,2025-08-17,En Curso,12922838.48,14477570.88,12.03,12,Agile/Scrum,4.3
PRY0091,Modernización de Infraestructura,E03,Neoris,Manufactura Automotriz,EMP03045,2024-12-25,2025-06-20,En Curso,8667884.87,8520016.17,-1.71,16,Kanban,3.2
PRY0092,Nearshoring Center of Excellence,E03,Neoris,Banca y Finanzas,EMP03045,2024-08-05,2025-01-31,En Planeación,6020038.61,6242568.98,3.7,23,SAFe,3.0
PRY0093,DevOps Pipeline CI/CD,E03,Neoris,Energía y Utilities,EMP03045,2023-08-12,2024-06-09,Completado,5901061.58,6610198.43,12.02,22,Waterfall,5.0
PRY0094,Modernización de Infraestructura,E03,Neoris,Banca y Finanzas,EMP03045,2023-10-09,2024-11-02,Completado,2796358.73,2826796.75,1.09,13,SAFe,4.2
PRY0095,Implementación SAP S/4HANA,E03,Neoris,Salud y Farmacéutico,EMP03045,2024-11-30,2025-02-20,En Curso,11673046.48,14091562.65,20.72,13,Híbrida,3.3
PRY0096,Nearshoring Center of Excellence,E03,Neoris,Retail y E-commerce,EMP03045,2023-09-26,2025-01-21,En Curso,5226683.12,5546280.79,6.11,17,Agile/Scrum,3.7
PRY0097,Portal Omnicanal Cliente,E03,Neoris,Retail y E-commerce,EMP03045,2024-05-02,2025-06-08,En Curso,2335158.32,2849688.11,22.03,24,Agile/Scrum,3.7
PRY0098,DevOps Pipeline CI/CD,E03,Neoris,Logística y Cadena de Suministro,EMP03045,2023-08-17,2024-05-28,Completado,8126821.31,7334088.54,-9.75,22,SAFe,4.5
PRY0099,Data Lake Empresarial,E03,Neoris,Telecomunicaciones,EMP03045,2023-03-25,2024-07-24,Completado,10779611.13,13079295.96,21.33,11,Híbrida,4.9
PRY0100,Portal Omnicanal Cliente,E03,Neoris,Retail y E-commerce,EMP03045,2024-09-28,2025-02-23,En Planeación,11040854.28,12080115.57,9.41,19,SAFe,3.4
PRY0101,Portal Omnicanal Cliente,E03,Neoris,Energía y Utilities,EMP03045,2024-03-26,2024-12-28,Completado,13094688.55,16049607.74,22.57,16,Agile/Scrum,3.2
PRY0102,Migración a la Nube AWS,E03,Neoris,Banca y Finanzas,EMP03045,2023-04-05,2023-07-07,Completado,13631206.94,16236001.29,19.11,12,Waterfall,4.1
PRY0103,API Gateway Microservicios,E03,Neoris,Retail y E-commerce,EMP03045,2023-06-01,2023-09-25,Completado,6255848.8,7793066.0,24.57,11,Agile/Scrum,3.0
PRY0104,Modernización de Infraestructura,E03,Neoris,Banca y Finanzas,EMP03045,2024-06-03,2025-06-12,En Curso,7721362.91,8022899.22,3.91,9,SAFe,4.8
PRY0105,Modernización de Infraestructura,E03,Neoris,Manufactura Automotriz,EMP03045,2024-01-25,2024-11-16,Completado,2114342.17,2244252.51,6.14,17,Híbrida,3.1
PRY0106,DevOps Pipeline CI/CD,E03,Neoris,Energía y Utilities,EMP03045,2024-02-12,2024-08-23,Completado,12774290.41,15353628.34,20.19,8,Híbrida,3.1
PRY0107,Integración Sistemas Legados,E03,Neoris,Salud y Farmacéutico,EMP03045,2024-10-07,2026-01-04,En Planeación,13714722.7,16326829.59,19.05,11,Waterfall,4.3
PRY0108,Data Lake Empresarial,E03,Neoris,Banca y Finanzas,EMP03045,2023-06-19,2024-01-07,Completado,14105708.25,14190579.5,0.6,15,Agile/Scrum,3.3
PRY0109,Modernización de Infraestructura,E03,Neoris,Manufactura Automotriz,EMP03045,2023-01-21,2023-10-11,Completado,1404480.16,1377348.01,-1.93,5,SAFe,3.5
PRY0110,Nearshoring Center of Excellence,E03,Neoris,Energía y Utilities,EMP03045,2023-12-23,2024-07-02,Completado,14307560.48,13774153.81,-3.73,10,SAFe,3.0
PRY0111,Implementación SAP S/4HANA,E03,Neoris,Telecomunicaciones,EMP03045,2023-01-21,2023-07-27,Completado,9874060.92,11787903.56,19.38,8,Waterfall,3.4
PRY0112,Modernización de Infraestructura,E03,Neoris,Logística y Cadena de Suministro,EMP03045,2024-12-01,2026-05-07,En Planeación,3429576.32,3961120.63,15.5,6,SAFe,4.4
PRY0113,Data Lake Empresarial,E03,Neoris,Retail y E-commerce,EMP03045,2024-05-31,2025-02-16,En Curso,13151086.19,14586163.7,10.91,21,SAFe,3.5
PRY0114,Portal Omnicanal Cliente,E04,Infosys Monterrey,Telecomunicaciones,EMP03985,2024-12-17,2026-02-03,En Curso,13764405.18,13941552.15,1.29,15,Híbrida,4.0
PRY0115,Portal Omnicanal Cliente,E04,Infosys Monterrey,Retail y E-commerce,EMP03985,2024-05-23,2025-10-17,En Curso,13594703.7,14280820.52,5.05,12,SAFe,4.5
PRY0116,Chatbot IA Servicio al Cliente,E04,Infosys Monterrey,Energía y Utilities,EMP03985,2023-09-16,2024-02-02,Completado,14705199.67,14163771.26,-3.68,7,Waterfall,4.8
PRY0117,Chatbot IA Servicio al Cliente,E04,Infosys Monterrey,Energía y Utilities,EMP03985,2023-07-19,2023-11-17,Completado,14173638.95,17492962.17,23.42,24,SAFe,3.7
PRY0118,Transformación Digital ERP,E04,Infosys Monterrey,Telecomunicaciones,EMP03985,2023-03-01,2024-02-11,Completado,2522380.64,2298801.99,-8.86,8,Agile/Scrum,3.4
PRY0119,Chatbot IA Servicio al Cliente,E04,Infosys Monterrey,Energía y Utilities,EMP03985,2023-01-09,2023-08-06,Completado,6920581.76,7543536.4,9.0,6,SAFe,3.9
PRY0120,Data Lake Empresarial,E04,Infosys Monterrey,Salud y Farmacéutico,EMP03985,2023-07-25,2024-05-28,Completado,14453332.39,16971879.2,17.43,5,Agile/Scrum,4.6
PRY0121,Implementación SAP S/4HANA,E04,Infosys Monterrey,Gobierno y Sector Público,EMP03985,2024-01-09,2025-01-30,En Curso,7495175.9,7966990.38,6.29,23,Agile/Scrum,4.7
PRY0122,Nearshoring Center of Excellence,E04,Infosys Monterrey,Manufactura Automotriz,EMP03985,2023-02-12,2023-12-08,Completado,13198053.59,12626231.36,-4.33,7,Híbrida,4.1
PRY0123,Transformación Digital ERP,E04,Infosys Monterrey,Logística y Cadena de Suministro,EMP03985,2023-09-06,2024-06-28,Completado,11886164.56,14837328.73,24.83,23,Kanban,3.8
PRY0124,Nearshoring Center of Excellence,E04,Infosys Monterrey,Logística y Cadena de Suministro,EMP03985,2023-11-21,2024-06-19,Completado,7552657.64,7712706.97,2.12,7,Agile/Scrum,3.4
PRY0125,Plataforma de Analytics BI,E04,Infosys Monterrey,Retail y E-commerce,EMP03985,2024-05-15,2024-11-19,Completado,5905742.01,6494472.39,9.97,20,SAFe,3.8
PRY0126,Ciberseguridad Zero Trust,E04,Infosys Monterrey,Logística y Cadena de Suministro,EMP03985,2024-07-12,2024-12-28,En Planeación,1360927.43,1697192.97,24.71,13,Kanban,3.2
PRY0127,Portal Omnicanal Cliente,E04,Infosys Monterrey,Energía y Utilities,EMP03985,2023-06-03,2023-08-22,Completado,1097997.55,1168081.72,6.38,6,Agile/Scrum,3.0
PRY0128,Migración a la Nube AWS,E04,Infosys Monterrey,Manufactura Automotriz,EMP03985,2024-08-27,2025-10-28,En Curso,2826782.48,2953907.8,4.5,16,SAFe,4.5
PRY0129,Ciberseguridad Zero Trust,E04,Infosys Monterrey,Telecomunicaciones,EMP03985,2024-04-30,2025-06-12,En Curso,11905400.57,14637834.12,22.95,12,Agile/Scrum,3.0
PRY0130,Migración a la Nube AWS,E04,Infosys Monterrey,Salud y Farmacéutico,EMP03985,2024-11-11,2026-04-26,En Planeación,11674346.01,12952210.33,10.95,19,Híbrida,3.8
PRY0131,Chatbot IA Servicio al Cliente,E04,Infosys Monterrey,Energía y Utilities,EMP03985,2023-02-01,2023-09-14,Completado,1075361.04,1326080.28,23.31,17,Waterfall,4.9
PRY0132,Modernización de Infraestructura,E04,Infosys Monterrey,Manufactura Automotriz,EMP03985,2023-05-26,2024-09-05,Completado,4681828.53,5073066.7,8.36,24,Waterfall,3.0
PRY0133,Migración a la Nube AWS,E04,Infosys Monterrey,Retail y E-commerce,EMP03985,2023-09-24,2025-02-12,En Curso,10261992.21,12731322.37,24.06,6,Waterfall,4.1
PRY0134,Automatización RPA,E04,Infosys Monterrey,Telecomunicaciones,EMP03985,2023-08-05,2024-05-13,Completado,5095217.69,4826571.99,-5.27,9,Híbrida,3.8
PRY0135,Portal Omnicanal Cliente,E04,Infosys Monterrey,Gobierno y Sector Público,EMP03985,2023-11-23,2024-06-09,Completado,1367837.72,1638636.87,19.8,20,SAFe,4.8
PRY0136,Modernización de Infraestructura,E04,Infosys Monterrey,Telecomunicaciones,EMP03985,2024-09-25,2025-11-21,En Curso,5708075.39,5936025.33,3.99,22,Agile/Scrum,4.1
PRY0137,Nearshoring Center of Excellence,E04,Infosys Monterrey,Gobierno y Sector Público,EMP03985,2023-03-26,2024-07-15,Completado,11684020.6,13923879.21,19.17,6,SAFe,4.1
PRY0138,Transformación Digital ERP,E04,Infosys Monterrey,Banca y Finanzas,EMP03985,2024-09-03,2025-11-24,En Planeación,13464840.52,16513304.8,22.64,22,Híbrida,5.0
PRY0139,Automatización RPA,E05,Globant Monterrey,Logística y Cadena de Suministro,EMP04823,2023-07-20,2024-04-06,Completado,4574751.95,4250660.81,-7.08,5,Agile/Scrum,4.8
PRY0140,Dashboard KPI Ejecutivo,E05,Globant Monterrey,Logística y Cadena de Suministro,EMP04823,2024-03-18,2025-08-16,En Curso,1677444.01,2012792.34,19.99,14,SAFe,4.9
PRY0141,Data Lake Empresarial,E05,Globant Monterrey,Energía y Utilities,EMP04823,2024-02-17,2024-07-28,Completado,7950513.05,7213706.49,-9.27,23,SAFe,3.7
PRY0142,Automatización RPA,E05,Globant Monterrey,Gobierno y Sector Público,EMP04823,2023-06-03,2024-03-30,Completado,4976316.92,5249072.03,5.48,8,Waterfall,3.1
